Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms),Month,Year_Month
2021-09-16,7.0,41.903858691453934,425.3247909545898,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099972067857382,1.2026036977767944,0.8884174227714539,643.0,0.0,0.0,0.0,0.0,446407.0,0.0,September,2021-09
2021-09-22,2.0,0.0,45.950286865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313192248344421,0.6313192248344421,0.6313192248344421,86.0,0.0,0.0,0.0,0.0,0.0,0.0,September,2021-09
2025-03-07,0.0,1028.2838928138017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,March,2025-03
2025-03-08,0.0,1589.4999850988388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,March,2025-03
2025-03-09,39.0,1668.7490253988,2471.957809938412,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4043993497144535,1.6217726427583246,0.2544226951384902,3232.0,63.0,63.0,63.0,0.0,1409719.0,101347.0,March,2025-03
2025-03-10,78.0,1780.2126491511897,5588.999129667935,40.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5692225576201606,3.119293890211181,0.2495368597581307,7000.0,0.0,0.0,0.0,0.0,3214278.0,240160.0,March,2025-03
2025-03-11,65.0,1792.5576569939792,4894.932784911668,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6514778513901046,3.133387186662996,0.2786534280088226,5924.0,0.0,0.0,0.0,0.0,3337514.0,305202.0,March,2025-03
2025-03-12,69.0,1779.0427720714752,5408.58437189915,41.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116047817481426,2.5638420667800217,0.2786534280088226,6773.0,0.0,0.0,0.0,0.0,3732150.0,88745.0,March,2025-03
2025-03-13,34.0,1716.0068755668474,3185.494056618592,31.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467603548190919,3.0398007469163377,0.2786534280088226,3712.0,0.0,0.0,0.0,0.0,1879317.0,205494.0,March,2025-03
2025-03-14,91.0,1865.604639626592,6910.905563615528,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6565786516873208,1.6469346022826137,0.2665380615736564,8958.0,0.0,0.0,0.0,0.0,5739863.0,0.0,March,2025-03
2025-03-15,15.0,1638.0411648434783,1182.5618630166732,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5022574316293285,1.5630718914532815,0.2665380615736564,1515.0,0.0,0.0,0.0,0.0,1009109.0,0.0,March,2025-03
2025-03-16,15.0,1607.7949209355734,927.1208758067518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243486011553998,1.31395762254555,0.2544226951384902,1398.0,0.0,0.0,0.0,0.0,380328.0,0.0,March,2025-03
2025-03-17,75.0,1790.9067420957997,4113.843329287926,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789804358752475,2.298052688229265,0.2665380615736564,5529.0,0.0,0.0,0.0,0.0,3359854.0,352562.0,March,2025-03
2025-03-18,66.0,1794.1230279432757,4632.4171430835095,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5573643267687435,1.7826344701402552,0.2786534280088226,5820.0,0.0,0.0,0.0,0.0,2624922.0,688970.0,March,2025-03
2025-03-19,73.0,1779.0030313237833,5099.226316011592,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4798103187786766,1.6979683486677193,0.2582733154783492,6584.0,0.0,0.0,0.0,0.0,2808678.0,482018.0,March,2025-03
2025-03-20,44.0,1710.8165920600582,3114.5437381156285,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4052865207577893,1.402892244445664,0.2665380615736564,4045.0,0.0,0.0,0.0,0.0,2522018.0,0.0,March,2025-03
2025-03-21,23.0,1638.2227609796155,1504.460167229145,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6256526282912633,1.462206228919232,0.2477480653224458,1981.0,0.0,0.0,0.0,0.0,1012885.0,0.0,March,2025-03
2025-03-22,17.0,1606.0829203643136,768.9823470797556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7381630987642345,1.373468109662593,0.2544226951384902,1068.0,0.0,0.0,0.0,0.0,344738.0,0.0,March,2025-03
2025-03-23,46.0,1625.4590420239074,2557.9428594828883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4194673711960694,1.373106353139696,0.2544226951384902,3601.0,0.0,0.0,0.0,0.0,747543.0,0.0,March,2025-03
2025-03-24,25.0,1644.2357741920775,1315.0497879771951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4322273774507473,1.857569914676097,0.2544226951384902,1989.0,0.0,0.0,0.0,0.0,1137887.0,0.0,March,2025-03
2025-03-25,20.0,1603.0579155539533,1050.0222015985596,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4812410385224349,1.5192958379085812,0.2642831287474787,1589.0,0.0,0.0,0.0,0.0,120670.0,68703.0,March,2025-03
2025-03-26,31.0,1621.9091590712558,1082.3332978732988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4913372842566184,1.227122870304128,0.264731657323683,1709.0,0.0,0.0,0.0,0.0,673745.0,0.0,March,2025-03
2025-03-27,69.0,1774.1544352624946,3973.879162003939,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935356490530572,1.9547159008056607,0.2786534280088226,5232.0,0.0,0.0,0.0,0.0,2471186.0,582909.0,March,2025-03
